customer_id,location_number,location_type,latitude,longitude
02SFNJH,0,,1.6791365450962032,0.7668233053886399
02SFNJH,1,,-0.4986483973653315,0.6612414365454651
RU43CXC,0,Home,0.1008532520270913,0.4381654655391503
BDFBPRD,0,,2.523125243914389,0.7334637242284848
NDYLK9A,0,,-0.2043711434422961,0.4355927487568151
PB2B28D,0,Home,2.5756051968780787,0.7082701813272576
U9YKW1T,0,Work,0.1000169880961674,0.0043574215499831
GC6WIE3,0,,0.875032932008317,0.5365400531075206
K9BE00O,0,,-0.8204825849423131,-0.1215030811704574
AY5F3Q6,0,,-0.2328497155092143,0.8312066210941839
4YWW8U8,0,,-0.2096115384615531,0.2725356818181831
4YWW8U8,1,Home,-0.5755555773730608,0.2365548488417778
393VD80,0,,-0.2485850000192577,0.8255716590909121
393VD80,1,Home,1.7764091758879548,0.7249986956305003
CYDS6WV,0,,0.2949077822307549,0.3734099295999972
HTIXECY,0,,0.7288572179808029,0.5216224720386294
J5B49B8,0,Other,-0.5020729209203852,0.1092373353062443
JD179G0,0,Work,-1.2560592005769382,-0.0903996344318263
UX1LKED,0,,-1.744332069626786,-0.3498256335204193
MRF3NLR,0,Home,0.0753711538461493,0.0005681818181845
FQ6BD1J,0,,0.04350696934616,-0.0085013919045484
8S4TR8P,0,,-0.3030295619615582,0.6885944994204449
8S4TR8P,1,Other,-0.2572492152307305,0.5351635424340915
8S4TR8P,2,Other,-0.4066493339233604,0.6331922816876427
WEW8WR3,0,Home,-0.8967209075053987,0.1460546160286092
QPS70WF,0,,-0.1968149700337495,0.535835211249914
YUET89W,0,Home,-1.094440099595763,0.1012502956119417
R8SXYD0,0,Other,0.127834615384588,0.5435047727272645
2KH6OSP,0,,-1.866021153846185,-0.0039831818182052
2KH6OSP,1,,-0.0324478658845817,0.6199950927772784
XGE7RDS,0,,-0.0580521919230342,-0.0084628085659071
XGE7RDS,1,,-0.0353971103846173,0.0207624229500038
MWCJAZ1,0,Home,-0.0936483689231509,-0.0076780604159216
P9PGO2N,0,Other,-0.1210958780000053,-0.0057338398750126
3H2T1BZ,0,Home,-0.4314233291346067,0.7786938861250007
3H2T1BZ,1,Work,-0.6036378990498038,0.7372990509976456
C09U37P,0,,-1.4378352613077157,-0.029248724479542
AFO9DXF,0,Home,0.1576418784230439,0.5187822324590864
UVI4WJ1,0,Home,0.0304724579230665,0.0002307974999963
IINNUEK,0,,-0.586738807500713,0.1408153551762297
T4K1PCQ,0,,-0.656528844673091,0.867647499568189
9NUOTF0,0,,-1.9269034222307408,0.0039302877340865
9NUOTF0,1,Home,-1.2284615384615,-0.1164972727272719
9NUOTF0,2,,0.0008711538461543,0.4873872727272683
7SI55PG,0,,-0.126855769230576,0.6028402954545018
P8K43OP,0,,-0.4446165539598475,0.0894325741312525
IHVLOYG,0,Home,-1.2699784529450169,0.088583217449506
1CWKZMW,0,Home,-0.6844311325371556,0.739482203315383
Z7UDW2C,0,,-0.4010257448461486,0.0418888994863634
BWXS6P5,0,,0.0358073421730539,0.6292964795772866
476VE6Z,0,Other,-0.7789266365614509,0.2319249280474537
9C9M88T,0,Work,0.0662655676154222,-0.0095839587818376
6QBK6AC,0,,0.6118953901850461,0.5416088185527259
QYP289E,0,,0.1575984322495474,0.4523125941102978
